Species,Time Period and Model,Climate Change Model,Percent Suitable,DvAStable,TimeSpanModel
B. recurvans,1961-1990,Historical,50.77675948,D,AHistorical
B. recurvans,1991-2020,Historical,67.95335147,D,Current
B. recurvans,2041-2070,ssp245,27.25511383,D,ssp245E
B. recurvans,2041-2070,ssp370,17.99992548,D,ssp370E
B. recurvans,2071-2100,ssp245,26.99429934,D,zssp245L
B. recurvans,2071-2100,ssp370,6.639591639,D,zssp370L
A. crispum,1961-1990,Historical,50.77675948,AStable,AHistorical
A. crispum,1991-2020,Historical,16.82626029,AStable,Current
A. crispum,2041-2070,ssp245,5.793807519,AStable,ssp245E
A. crispum,2041-2070,ssp370,5.119415776,AStable,ssp370E
A. crispum,2071-2100,ssp245,6.155221879,AStable,zssp245L
A. crispum,2071-2100,ssp370,3.547077015,AStable,zssp370L
B. novae-angliae,1961-1990,Historical,50.8879089,D,AHistorical
B. novae-angliae,1991-2020,Historical,60.54249413,D,Current
B. novae-angliae,2041-2070,ssp245,20.14605611,D,ssp245E
B. novae-angliae,2041-2070,ssp370,13.29036104,D,ssp370E
B. novae-angliae,2071-2100,ssp245,17.739111,D,zssp245L
B. novae-angliae,2071-2100,ssp370,4.567979433,D,zssp370L
D. denudatum,1961-1990,Historical,12.01854549,D,AHistorical
D. denudatum,1991-2020,Historical,11.26718581,D,Current
D. denudatum,2041-2070,ssp245,6.833339543,D,ssp245E
D. denudatum,2041-2070,ssp370,5.197660121,D,ssp370E
D. denudatum,2071-2100,ssp245,5.939118447,D,zssp245L
D. denudatum,2071-2100,ssp370,1.967286412,D,zssp370L
D. scoparium,1961-1990,Historical,53.59871972,AStable,AHistorical
D. scoparium,1991-2020,Historical,64.17154141,AStable,Current
D. scoparium,2041-2070,ssp245,33.99157942,AStable,ssp245E
D. scoparium,2041-2070,ssp370,28.95413391,AStable,ssp370E
D. scoparium,2071-2100,ssp245,22.97403033,AStable,zssp245L
D. scoparium,2071-2100,ssp370,9.150862551,AStable,zssp370L
H. pallescnes,1961-1990,Historical,51.04279767,AStable,AHistorical
H. pallescnes,1991-2020,Historical,57.6586311,AStable,Current
H. pallescnes,2041-2070,ssp245,13.4766571,AStable,ssp245E
H. pallescnes,2041-2070,ssp370,7.243190879,AStable,ssp370E
H. pallescnes,2071-2100,ssp245,7.992101047,AStable,zssp245L
H. pallescnes,2071-2100,ssp370,1.143857819,AStable,zssp370L
P.pallidisetum,1961-1990,Historical,20.22456299,D,AHistorical
P.pallidisetum,1991-2020,Historical,25.19840531,D,Current
P.pallidisetum,2041-2070,ssp245,10.11215023,D,ssp245E
P.pallidisetum,2041-2070,ssp370,8.45411528,D,ssp370E
P.pallidisetum,2071-2100,ssp245,9.635232311,D,zssp245L
P.pallidisetum,2071-2100,ssp370,4.322068631,D,zssp370L
R. triquetrus,1961-1990,Historical,57.91142009,AStable,AHistorical
R. triquetrus,1991-2020,Historical,60.29285741,AStable,Current
R. triquetrus,2041-2070,ssp245,16.68467529,AStable,ssp245E
R. triquetrus,2041-2070,ssp370,10.10842431,AStable,ssp370E
R. triquetrus,2071-2100,ssp245,11.21502291,AStable,zssp245L
R. triquetrus,2071-2100,ssp370,2.347330377,AStable,zssp370L
T. pellucida,1961-1990,Historical,77.43409508,D,AHistorical
T. pellucida,1991-2020,Historical,84.42192332,D,Current
T. pellucida,2041-2070,ssp245,41.22731845,D,ssp245E
T. pellucida,2041-2070,ssp370,32.51611461,D,ssp370E
T. pellucida,2071-2100,ssp245,36.63698349,D,zssp245L
T. pellucida,2071-2100,ssp370,13.07798353,D,zssp370L
T. delicatulum,1961-1990,Historical,57.8049019,AStable,AHistorical
T. delicatulum,1991-2020,Historical,71.40355453,AStable,Current
T. delicatulum,2041-2070,ssp245,41.93151757,AStable,ssp245E
T. delicatulum,2041-2070,ssp370,33.19423227,AStable,ssp370E
T. delicatulum,2071-2100,ssp245,34.71440814,AStable,zssp245L
T. delicatulum,2071-2100,ssp370,11.8447036,AStable,zssp370L
